mask_ratio,n_active_CA1,active_CA1_indices
0.0,41,"678,712,865,991,1446,2975,3009,3260,3486,3856,4110,4560,5019,5458,6173,6692,6706,7164,7312,7665,8114,8654,8671,8988,9249,10366,10550,10794,11281,11446,11543,11561,12045,12198,13217,13400,13800,14508,14813,14831,14968"
0.1,39,"678,712,865,991,1446,2975,3009,3260,3486,3856,4110,4560,5019,5458,6173,6692,6706,7164,7312,7665,8114,8654,8671,8988,9249,10366,10794,11281,11543,11561,12045,12198,13217,13400,13800,14508,14813,14831,14968"
0.3,24,"712,865,991,1446,3486,4110,4560,5019,6692,7312,7665,8114,8671,9249,11281,11543,11561,12045,12198,13217,13400,14508,14813,14968"
0.5,19,"865,3009,4110,4560,5019,7164,7312,7665,8114,10794,11281,11543,11561,12045,12198,13400,14508,14813,14968"
0.7,0,
0.9,0,
